SolarRad.,TempOut,OutHum,Hora
294.666666666667,13.5333333333333,80.1666666666667,8
749.833333333333,15.7333333333333,72.1666666666667,9
1038.66666666667,17.6333333333333,64.6666666666667,10
936.166666666667,19.0333333333333,56.5,11
896,19.5,54.8333333333333,12
488,18.8666666666667,54.6666666666667,13
413.166666666667,19.9333333333333,52,14
227.333333333333,19.35,56.5,15
192.5,18.5666666666667,65.6666666666667,16
49.3333333333333,17.3333333333333,66.1666666666667,17
0.5,15.45,79.6666666666667,18
0,14.3166666666667,79.8333333333333,19
0,13.7,81.5,20
0,12.1166666666667,85.5,21
0,11.633333333333301,87.6666666666667,22
0,12.05,88,23
0,12.2166666666667,88.5,0
0,11.7166666666667,90.5,1
0,10.6,90,2
0,10.0666666666667,90.1666666666667,3
0,9.23333333333333,92.3333333333333,4
0,8.41666666666667,93.5,5
18.3333333333333,7.98333333333333,94.6666666666667,6
114.833333333333,9.35,95.1666666666667,7
325,13.383333333333301,83.8333333333333,8
322.166666666667,14.8,77.6666666666667,9
244.166666666667,15.4333333333333,72.1666666666667,10
197.333333333333,16.3166666666667,70.6666666666667,11
284.666666666667,17.15,68,12
401,17.9333333333333,63.3333333333333,13
568.5,19.0666666666667,59.1666666666667,14
627.666666666667,20.2666666666667,49.6666666666667,15
212.833333333333,19.55,53.8333333333333,16
94.5,18.1666666666667,66.8333333333333,17
0.666666666666667,14.6,80,18
0,12.75,86,19
0,13.0166666666667,87.1666666666667,20
0,12.65,87.8333333333333,21
0,10.9166666666667,90.6666666666667,22
0,11.0333333333333,92.5,23
0,10.5,92.6666666666667,0
0,10.3333333333333,94.3333333333333,1
0,10.6166666666667,94,2
0,10.4166666666667,94.5,3
0,10.4833333333333,94.8333333333333,4
0,10.5833333333333,95,5
18.5,10.0666666666667,94.3333333333333,6
165.166666666667,11.0833333333333,92.6666666666667,7
492.166666666667,15.133333333333301,77.8333333333333,8
574.833333333333,16.75,70,9
680.666666666667,18.8666666666667,61,10
728.833333333333,20.5333333333333,56.5,11
243.166666666667,20.2666666666667,57,12
327.166666666667,20.2833333333333,57.1666666666667,13
149.333333333333,17.2833333333333,76,14
47.8333333333333,13.383333333333301,88.8333333333333,15
25.8333333333333,11.5833333333333,93.8333333333333,16
13.8333333333333,11.5,95,17
0.166666666666667,11.25,95.1666666666667,18
0,9.95,94.6666666666667,19
0,8.75,95.5,20
0,8.33333333333333,96.3333333333333,21
0,8.46666666666667,96.6666666666667,22
0,8.9,97,23
0,9.13333333333333,97,0
0,9.36666666666667,97,1
0,9.03333333333333,97,2
0,9.35,97.1666666666667,3
0,9.5,97,4
0,9.23333333333333,97,5
23.8333333333333,8.26666666666667,96.3333333333333,6
209,10.633333333333301,97.5,7
555.333333333333,13.6166666666667,86.3333333333333,8
712.5,15.8,75.5,9
395.833333333333,16.3,68.5,10
504,17.1,62.5,11
758.5,18.3,59.3333333333333,12
1024.33333333333,19.1333333333333,53.6666666666667,13
816.833333333333,20.05,50.6666666666667,14
582.333333333333,20.3833333333333,43.8333333333333,15
352.833333333333,21.1333333333333,40.3333333333333,16
95,18.9666666666667,63,17
1.5,14.6,83,18
0,13.75,86,19
0,13.5,86,20
0,12.5166666666667,86.3333333333333,21
0,11.1666666666667,89,22
0,11.45,89,23
0,12.15,87.8333333333333,0
0,11.4166666666667,88.1666666666667,1
0,10.133333333333301,90.5,2
0,9,91.8333333333333,3
0,8.13333333333333,93.1666666666667,4
0,7.5,93.1666666666667,5
21.6666666666667,7.46666666666667,93.3333333333333,6
132.333333333333,9.55,92.1666666666667,7
401.5,12.8666666666667,81.3333333333333,8
