"IDCycle","Department","DataSource","Municipality","Longitude.DD","Latitude.DD","Altitude.masl","LotArea.m2","CycleDuration.days","Density.plants.m2","Yield.kg.m2","IrrigVolumen.l.m2","Rainfall.mm","TotalN.kg.m2","P2O5.kg.m2","K2O.kg.m2"
"P163","Boyaca","Survey","Sutamarchan",-73.61469,5.62352,2110,3360,182,1.9,8.93,518.31,0,0.07231,0.05769,0.06633
"P164","Boyaca","Survey","Sutamarchan",-73.6074,5.63165,2110,1316,182,3,12.16,235.87,0,0.0835,0.05906,0.1265
"P165","Boyaca","Survey","Sutamarchan",-73.60411,5.63312,2107,4480,181,2.5,4.46,793.8,0,0.07486,0.07274,0.09904
"P166","Boyaca","Survey","Sachica",-73.5287,5.58407,2070,1470,181,3.4,5.44,395.09,0,0.12988,0.1177,0.1543
"P168","Boyaca","Survey","Sutamarchan",-73.61196,5.6345,2167,1680,151,1.8,1.79,129.56,0,0.01145,0.00629,0.00813
"P169","Boyaca","Survey","Sutamarchan",-73.59986,5.64202,2140,2240,181,2.8,17.86,777.47,0,0.09179,0.08454,0.1338
"P170","Boyaca","Survey","VillaDeLeyva",-73.5864,5.652,2109,2450,181,2.5,14.69,275.75,0,0.1036,0.1272,0.11755
"P172","Boyaca","Survey","SantaSofia",-73.604985,5.717169,2427,3200,224,2.8,9.38,116.52,0,0.03719,0.06503,0.03374
"P18","Boyaca","Survey","SantaSofia",-73.6,5.72933,2369,1800,241,3.3,10,134.06,0,0.0246,0.01733,0.0642
"P19","Boyaca","Survey","SantaSofia",-73.60474,5.7283,2382,2200,273,3.6,3.64,395.67,0,0.03658,0.0611,0.08568
"P2","Boyaca","Survey","SantaSofia",-73.60017,5.72453,2361,2520,184,2.7,11.9,167.96,0,0.05198,0.0723,0.0763
"P20","Boyaca","Survey","SantaSofia",-73.59736,5.71824,2215,2520,153,3.4,8.73,789.81,0,0.04482,0.05982,0.0667
"P21","Boyaca","Survey","SantaSofia",-73.5958,5.72162,2318,2100,153,3.3,20,268.5,0,0.05477,0.0623,0.0562
"P22","Boyaca","Survey","SantaSofia",-73.59502,5.72767,2310,3200,192,2.2,6.88,355.28,0,0.06419,0.02993,0.02778
"P23","Boyaca","Survey","SantaSofia",-73.59653,5.72818,2317,2960,182,2.5,8.45,490.19,0,0.0452,0.0541,0.0847
"P24","Boyaca","Survey","SantaSofia",-73.5985,5.72329,2361,3000,183,3,13.33,705.02,0,0.01044,0.00216,0.01632
"P25","Boyaca","Survey","SantaSofia",-73.59933,5.72496,2350,2040,183,3.2,5.88,1243.93,0,0.03362,0.02078,0.03773
"P26","Boyaca","Survey","SantaSofia",-73.60022,5.71652,2386,1200,150,3.2,13.17,314.5,0,0.0765,0.0403,0.08235
"P27","Boyaca","Survey","SantaSofia",-73.60151,5.72781,2382,2880,122,2.5,12.5,483.84,0,0.01726,0.02775,0.03488
"P29","Boyaca","Survey","SantaSofia",-73.60286,5.70504,2389,2975,184,3,8,476.9,0,0.04273,0.04322,0.095
"P3","Boyaca","Survey","SantaSofia",-73.60279,5.73387,2362,2700,153,3.7,13.33,1076.4,0,0.18108,0.1552,0.196
